Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Christian Bethancourt","Brewers (AAA)",26,2018,104,391,418,116,74,22,0,20,59,71,20,0,76,1,6,0,12,6,1,0.296675191,0.327751196,0.506393861,0.834145057,0.358490408750242,0.047846889,0.181818181,"10028"
"Danny Ortiz","Phillies (AAA)",28,2018,118,392,418,91,56,20,0,15,43,61,19,1,101,3,4,0,11,0,1,0.232142857,0.270334928,0.397959183,0.668294111,0.2951779960156631,0.045454545,0.241626794,"10317"
"Wilfredo Tovar","Cardinals (AAA)",26,2018,108,360,389,107,86,15,1,5,41,47,24,0,42,2,3,0,8,11,5,0.297222222,0.341902313,0.386111111,0.728013424,0.32760300029519285,0.061696658,0.107969151,"10416"
"Rangel Ravelo","Cardinals (AAA)",26,2018,100,347,399,107,73,19,2,13,57,67,42,0,49,7,2,0,9,0,1,0.308357348,0.391959798,0.4870317,0.878991498,0.38933306333407686,0.105263157,0.122807017,"10839"
"Brett Nicholas","Padres (AAA)",29,2018,117,412,456,120,73,30,1,16,65,83,37,0,86,4,3,0,13,1,1,0.291262135,0.353070175,0.485436893,0.838507068,0.3668578176906234,0.08114035,0.188596491,"11192"
"Hanser Alberto","Rangers (AAA)",25,2018,101,361,384,119,92,17,3,7,45,58,9,1,28,3,6,5,11,0,3,0.329639889,0.345646437,0.451523545,0.797169982,0.34830656584608494,0.0234375,0.072916666,"11902"
"Orlando Calixte","Giants (AAA)",26,2018,125,400,437,108,79,15,3,11,52,48,32,0,96,1,4,0,10,14,1,0.27,0.322654462,0.405,0.727654462,0.3230653158314441,0.073226544,0.219679633,"11905"
"Kennys Vargas","Twins (AAA)",27,2018,130,463,533,111,67,23,0,21,41,73,58,3,133,5,7,0,21,0,0,0.23974082,0.326454033,0.425485961,0.751939994,0.334251133450922,0.108818011,0.249530956,"12101"
"Matt Skole","White Sox (AAA)",28,2018,121,431,500,102,59,28,1,14,50,44,61,1,125,5,3,0,5,3,1,0.236658932,0.336,0.403712296,0.739712296,0.334052785603938,0.122,0.25,"12119"
"Ryan Court","Cubs (AAA)",30,2018,114,386,450,101,68,21,1,11,50,62,56,1,149,6,2,0,6,5,2,0.261658031,0.362222222,0.406735751,0.768957973,0.3476163844488777,0.124444444,0.331111111,"12268"
"Billy Burns","Royals (AAA)",28,2018,102,376,425,96,82,9,1,4,51,36,30,0,54,4,4,11,1,10,8,0.255319148,0.314009661,0.316489361,0.630499022,0.29017026470479185,0.070588235,0.127058823,"12701"
"Taylor Davis","Cubs (AAA)",28,2018,107,356,409,98,76,18,0,4,38,41,40,1,57,1,3,8,16,0,2,0.275280898,0.3475,0.359550561,0.707050561,0.32259737922434223,0.097799511,0.139364303,"12782"
