Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Jason Coats","- - -","—",2018,200,733,789,182,101,44,4,33,96,110,44,1,190,5,6,1,17,9,3,0.248294679,0.293147208,0.454297407,0.747444615,0.32236309177236305,0.055766793,0.240811153,"14282"
"Anthony Alford","- - -","—",2018,181,657,736,163,109,38,4,12,98,71,61,0,206,15,2,1,9,39,15,0.248097412,0.325170068,0.372907153,0.698077221,0.3143004072766726,0.082880434,0.279891304,"14329"
"Dilson Herrera","- - -","—",2018,167,592,668,156,85,39,1,31,89,91,62,3,177,10,3,1,10,12,6,0.263513513,0.341829085,0.489864864,0.831693949,0.35691733810916004,0.092814371,0.264970059,"14335"
"Jake Cave","- - -","—",2018,106,411,463,126,82,27,5,12,62,66,41,1,105,4,7,0,8,9,2,0.306569343,0.369330453,0.484184914,0.853515367,0.36941791380638683,0.088552915,0.226781857,"14477"
"Gabriel Guerrero","Reds (AAA)","—",2018,104,404,432,118,82,15,4,17,64,65,23,1,97,0,5,0,16,1,3,0.292079207,0.326388888,0.475247524,0.801636412,0.351587564652038,0.05324074,0.224537037,"14528"
"Max Moroff","- - -","—",2018,108,355,433,78,46,18,2,12,58,46,69,0,102,2,3,4,8,6,2,0.219718309,0.347319347,0.383098591,0.730417938,0.332973126348082,0.159353348,0.235565819,"14556"
"Tzu-Wei Lin","- - -","—",2018,127,501,552,140,97,31,3,9,63,47,44,1,122,1,2,4,7,9,6,0.279441117,0.33759124,0.407185628,0.744776868,0.3310910311869773,0.079710144,0.221014492,"14678"
"Harold Castro","- - -","—",2018,105,363,385,102,82,13,1,6,44,44,14,0,73,0,3,5,13,4,6,0.280991735,0.305263157,0.371900826,0.677163983,0.29936943807099997,0.036363636,0.189610389,"14691"
"Dawel Lugo","- - -","—",2018,191,791,826,231,169,47,7,8,102,100,24,1,118,5,6,0,18,18,7,0.292035398,0.314769975,0.39949431,0.714264285,0.31358780990947377,0.02905569,0.142857142,"14713"
"Yu Chang","- - -","—",2018,195,710,801,181,113,43,3,22,101,101,70,2,211,10,8,3,13,8,4,0.254929577,0.327067669,0.416901408,0.743969077,0.3286974871128648,0.087390761,0.263420724,"14773"
"Daniel Palka","- - -","—",2018,123,458,544,122,66,26,0,30,94,79,82,5,130,0,4,0,9,3,2,0.266375545,0.375,0.519650655,0.894650655,0.37983662608824326,0.150735294,0.238970588,"14897"
"Jack Reinheimer","Orioles (AAA)","—",2019,106,342,391,84,63,15,2,4,43,31,40,0,77,2,6,1,3,12,4,0.245614035,0.323076923,0.336257309,0.659334232,0.2972805960056109,0.10230179,0.196930946,"14938"
"Jonathan Davis","- - -","—",2018,128,479,554,123,77,26,5,15,90,59,52,1,124,21,0,2,8,20,5,0.256784968,0.355072463,0.425887265,0.780959728,0.34753617346827653,0.093862815,0.223826714,"15104"
"Dylan Cozens","- - -","—",2018,113,382,456,88,37,19,4,28,71,74,68,3,167,1,5,0,2,14,8,0.230366492,0.344298245,0.520942408,0.865240653,0.3728964660341377,0.149122807,0.36622807,"15115"
"Jordan Patterson","Blue Jays (AAA)","—",2019,104,359,401,84,47,19,2,16,61,47,24,2,129,15,1,2,12,3,1,0.233983286,0.308270676,0.431754874,0.74002555,0.31796632560734783,0.059850374,0.32169576,"15119"
"Josh VanMeter","- - -","—",2018,147,513,573,147,76,39,7,25,83,88,52,1,110,3,4,1,10,13,6,0.286549707,0.353146853,0.536062378,0.889209231,0.38159005529199924,0.090750436,0.191972076,"15170"
"Dustin Peterson","- - -","—",2018,186,707,761,195,137,36,0,22,77,104,44,0,174,5,4,1,19,4,1,0.275813295,0.321052631,0.420084865,0.741137496,0.32661097724186744,0.057818659,0.228646517,"15189"
"Austin Wynns","- - -","—",2018,103,336,383,84,68,9,0,7,45,41,36,0,73,4,5,2,8,0,0,0.25,0.325459317,0.339285714,0.664745031,0.30282257423000386,0.093994778,0.190600522,"15271"
"Justin Williams","Rays (AAA)","—",2018,94,356,386,92,66,18,0,8,41,46,25,0,81,3,0,2,14,4,3,0.258426966,0.3125,0.376404494,0.688904494,0.3115630264704426,0.064766839,0.209844559,"15490"
"Mike Ford","- - -","—",2018,181,661,759,182,103,41,0,38,107,112,83,3,125,9,6,0,22,1,1,0.275340393,0.361001317,0.509833585,0.870834902,0.3755963674928776,0.109354413,0.164690382,"15585"
"Willians Astudillo","- - -","—",2018,96,364,390,112,76,18,1,17,48,57,12,1,16,9,4,1,12,8,5,0.307692307,0.341902313,0.502747252,0.844649565,0.3677245512143853,0.03076923,0.041025641,"15608"
"Billy McKinney","- - -","—",2018,112,405,460,96,46,19,11,20,54,60,51,1,97,3,1,0,6,1,1,0.237037037,0.326086956,0.486419753,0.812506709,0.353852733937224,0.110869565,0.210869565,"15654"
"Reese McGuire","- - -","—",2018,168,565,646,135,99,21,3,12,61,66,58,2,121,8,9,6,13,7,2,0.238938053,0.3140625,0.350442477,0.664504977,0.2985210418701172,0.089783281,0.187306501,"15674"
"Rowdy Tellez","- - -","—",2018,138,486,553,140,89,31,0,20,63,71,54,2,99,6,7,0,9,7,4,0.288065843,0.361663652,0.475308641,0.836972293,0.3665529573894023,0.097649186,0.179023508,"15679"
"Tyler Wade","- - -","—",2018,170,665,743,182,129,37,8,8,97,65,60,3,158,7,4,6,5,24,13,0.27368421,0.338315217,0.389473684,0.727788901,0.3236173849964532,0.080753701,0.212651413,"15730"
"Travis Demeritte","Braves (AAA)","—",2019,96,339,399,97,47,28,2,20,68,73,51,0,106,6,2,1,5,4,3,0.286135693,0.386934673,0.557522123,0.944456796,0.39984064949816794,0.127819548,0.26566416,"15958"
"Clint Frazier","- - -","—",2018,109,437,485,120,64,34,4,18,73,47,40,0,108,6,2,0,10,5,4,0.274599542,0.342268041,0.494279176,0.836547217,0.36313821237111826,0.082474226,0.222680412,"15983"
"Deivy Grullon","Phillies (AAA)","—",2019,108,407,457,115,70,24,0,21,55,77,45,0,133,2,3,0,5,1,0,0.282555282,0.354485776,0.496314496,0.850800272,0.3639294608155799,0.098468271,0.291028446,"15988"
"Kean Wong","- - -","—",2018,229,904,1008,266,186,52,9,19,136,113,82,4,224,13,4,5,14,13,6,0.294247787,0.359920239,0.434734513,0.794654752,0.35065024047045856,0.081349206,0.222222222,"15994"
"Sam Travis","- - -","—",2018,165,597,666,158,115,27,1,15,71,76,60,0,151,5,4,0,10,6,3,0.264656616,0.334834834,0.388609715,0.723444549,0.3242175340115487,0.09009009,0.226726726,"16263"
"Nick Ciuffo","- - -","—",2018,101,364,395,91,61,21,1,8,44,47,27,0,105,0,4,0,7,1,1,0.25,0.298734177,0.379120879,0.677855056,0.3002351816696457,0.06835443,0.265822784,"16291"
"Pablo Reyes","- - -","—",2018,161,531,589,153,96,35,4,18,74,66,41,1,108,4,4,9,11,18,10,0.288135593,0.34137931,0.470809792,0.812189102,0.35371457614223367,0.069609507,0.183361629,"16357"
"Richard Urena","- - -","—",2018,163,619,671,155,108,29,7,11,71,81,35,2,133,1,7,8,15,5,5,0.250403877,0.288519637,0.373182552,0.661702189,0.2891217881079876,0.052160953,0.198211624,"16411"
"Jordan Luplow","- - -","—",2018,101,359,414,104,63,28,3,10,53,56,49,2,78,4,2,0,11,9,3,0.289693593,0.379227053,0.467966573,0.847193626,0.37557318039889476,0.118357487,0.188405797,"16424"
"Jason Martin","- - -","—",2018,160,583,640,141,91,30,8,12,67,71,46,1,131,1,4,6,7,14,10,0.241852487,0.296529968,0.382504288,0.679034256,0.29740859283278526,0.071875,0.2046875,"16429"
"Ryan McBroom","- - -","—",2018,213,772,875,236,151,47,1,37,136,112,83,4,206,8,11,0,18,3,6,0.305699481,0.374141876,0.512953367,0.887095243,0.3815511875454037,0.094857142,0.235428571,"16524"
"Yandy Diaz","Indians (AAA)","—",2018,98,348,426,102,75,24,0,3,53,40,70,3,75,2,5,1,8,2,3,0.293103448,0.409411764,0.387931034,0.797342798,0.3643627124375077,0.164319248,0.176056338,"16578"
"Greg Allen","- - -","—",2018,95,369,431,104,72,22,3,7,68,31,39,2,88,17,1,5,2,22,11,0.281842818,0.375586854,0.414634146,0.790221,0.35382321392590144,0.090487238,0.204176334,"16623"
"Brian O'Grady","- - -","—",2018,154,573,651,164,86,39,3,36,98,106,63,4,175,6,5,2,2,25,8,0.286212914,0.360123647,0.553228621,0.913352268,0.3855287039632189,0.096774193,0.268817204,"16729"
"Rusney Castillo","- - -","—",2018,237,934,1004,279,200,56,1,22,119,123,54,1,143,9,6,0,34,18,16,0.298715203,0.340977068,0.431477516,0.772454584,0.339173518314571,0.05378486,0.142430278,"17016"
"Alex Jackson","- - -","—",2018,120,414,470,92,39,20,2,31,67,82,32,1,160,21,3,0,10,1,0,0.222222222,0.308510638,0.504830917,0.813341555,0.34381951998545923,0.068085106,0.340425531,"17276"
"Bobby Bradley","- - -","—",2018,139,516,581,135,67,30,2,36,76,93,57,3,196,5,2,1,8,0,0,0.261627906,0.339655172,0.536821705,0.876476877,0.36862185902157524,0.098106712,0.337349397,"17278"
"Willi Castro","- - -","—",2018,124,486,546,146,99,28,8,11,75,64,37,0,115,14,6,3,4,18,4,0.300411522,0.362799263,0.458847736,0.821646999,0.35661730153784565,0.067765567,0.21062271,"17338"
"Blake Trahan","- - -","—",2018,230,798,896,189,148,31,3,7,89,60,71,2,188,10,3,14,18,9,8,0.236842105,0.306122448,0.309523809,0.615646257,0.28105353936553,0.079241071,0.209821428,"17588"
"Kevin Kramer","- - -","—",2018,242,869,975,250,156,65,4,25,122,113,81,1,243,10,12,3,11,17,10,0.287686996,0.350823045,0.457997698,0.808820743,0.3547036530551655,0.083076923,0.249230769,"17689"
"Kevin Newman","- - -","—",2018,117,467,512,139,101,32,2,4,79,36,36,3,57,2,1,5,6,28,12,0.297644539,0.349802371,0.400428265,0.750230636,0.33588012940366985,0.0703125,0.111328125,"17696"
"Christin Stewart","- - -","—",2018,144,527,624,141,88,23,3,27,83,91,85,3,133,7,5,0,9,1,0,0.267552182,0.373397435,0.476280834,0.849678269,0.3759248429450436,0.136217948,0.213141025,"17714"
"DJ Stewart","- - -","—",2018,179,651,767,166,95,43,4,24,101,102,92,4,154,12,10,2,12,16,8,0.254992319,0.352941176,0.443932411,0.796873587,0.34974221111753767,0.119947848,0.200782268,"17766"
"Cedric Mullins","- - -","—",2018,125,508,573,119,79,25,5,10,80,42,47,1,89,3,5,8,6,25,4,0.234251968,0.300177619,0.362204724,0.662382343,0.295401577635592,0.082024432,0.155322862,"17929"
"LaMonte Wade Jr","- - -","—",2018,151,517,628,123,89,21,4,9,71,45,94,1,102,12,3,2,15,12,3,0.237911025,0.365814696,0.346228239,0.712042935,0.33009931211471555,0.149681528,0.162420382,"18126"
"Austin Riley","- - -","—",2018,119,465,518,133,76,30,0,27,80,88,46,2,134,4,3,0,9,1,0,0.286021505,0.353281853,0.524731182,0.878013035,0.37753156624561135,0.088803088,0.258687258,"18360"
"Seby Zavala","- - -","—",2018,130,478,522,110,59,29,0,22,67,65,32,0,160,7,5,0,12,1,3,0.230125523,0.285440613,0.428870292,0.714310905,0.3071098170061221,0.061302681,0.306513409,"18887"
"Danny Mendick","White Sox (AAA)","—",2019,133,477,558,133,89,26,1,17,75,64,66,0,96,5,7,3,20,19,8,0.278825995,0.367567567,0.444444444,0.812012011,0.35509050418664745,0.118279569,0.17204301,"18889"
"Andres Blanco","Braves (AAA)","—",2019,118,454,530,119,76,23,1,19,78,61,57,0,109,17,2,0,13,2,4,0.262114537,0.364150943,0.442731277,0.80688222,0.3548396092540813,0.107547169,0.205660377,"1907"
