"","venueid","park_factor","mean_rel_speed","z_rel_speed","mean_spin_rate","z_spin_rate","mean_spin_axis","z_spin_axis","mean_vert_rel_angle","z_vert_rel_angle","mean_horz_rel_angle","z_horz_rel_angle","mean_rel_height","z_rel_height","mean_rel_side","z_rel_side","mean_extension","z_extension","mean_IVB","z_IVB","mean_px","z_px","mean_pz","z_pz"
"1",2553,0.216679572780449,89.4313405644339,1.45251101324729,2253.59579251701,0.266071236367728,182.333274216253,0.338651705571563,-1.90166864785787,-0.988671397407423,-1.47043850357021,-0.468293267141494,5.93575929955797,0.11568844373992,1.05361023971438,0.393130354419326,5.99167897653859,-0.628557490463321,12.1629045314859,0.77205143824205,-0.0456891754326434,-0.113841553003736,2.232552086868,-0.922060910791449
"2",2723,2.93661141233486,88.2828737582006,0.811345979000608,2331.30438289602,0.939242148351914,179.371288729147,0.0269162980849121,-0.826018767947516,0.91488102350335,-1.09131559137769,-0.275532506444677,5.62135778819119,-0.948513585477387,0.821820374882849,0.240431526055195,6.13897432052484,-0.218701627186058,9.62558113908154,-0.203695247878933,-0.00955079217148183,0.191526848521553,2.66028611369991,1.45871055580438
"3",2763,0.724103092300278,87.2022766295331,0.208071168402191,2190.72278361858,-0.278582585467336,168.020463209291,-1.16770610440348,-1.29479517144584,0.0852983921926415,-0.545594122830766,0.00193340770263909,5.86945109741645,-0.108754889773317,0.661145616733823,0.134582000085288,6.60956094572173,1.09072664323383,10.0300755528789,-0.0481438960099829,0.00795833333333333,0.339478505043423,2.48214948210923,0.467200451294388
"4",2774,-3.0008700865467,86.9138201570681,0.0470319437220415,2188.95009816754,-0.293938935079643,167.182134964594,-1.25593631285854,-1.6899775833966,-0.614046674468746,1.18484879096859,0.881757553590705,5.92774389397906,0.0885574962931352,-0.891085977748691,-0.887999146849407,5.9738492539267,-0.678169488747349,12.3121395682592,0.829440887699133,-0.0834957544088831,-0.433306165066818,2.27527563683867,-0.684261244781205
"5",2781,4.13745455149928,89.272665625,1.36392610820342,2117.848396875,-0.90987594885483,182.730329742188,0.380439981277453,-2.3430581175775,-1.76978801289884,2.10888999085938,1.35157586020811,6.5671945,2.25300202950609,-1.44570264921875,-1.25337023840358,6.398188921875,0.502574560745348,11.1630925515625,0.387566264190244,0.16344427244582,1.65333065895166,2.43020433436533,0.178073288574203
"6",2790,-0.0264118484576664,86.7533206210191,-0.0425715955085851,2035.19513934426,-1.62588132842816,195.091998248408,1.68144897871409,-1.38303702045939,-0.0708611430358602,-2.78145713479299,-1.1348658759578,5.8022574044586,-0.336195477083115,2.22800671178344,1.16680078841458,6.08458737261147,-0.370035735140835,9.93226902157643,-0.0857561290761505,0.192795152462862,1.90134483405719,2.19881548084441,-1.10983916541302
"7",2796,0.278361582368005,87.8672471794872,0.579310339722006,2249.57572953114,0.231246393281132,184.095923316239,0.524162450925388,-1.40625929785812,-0.111957063917744,-2.33849505776068,-0.909646813267041,5.83190061880342,-0.235857636081206,1.66116424854701,0.793375573873167,6.34134411623932,0.344401354070077,9.77605910495726,-0.145827820740158,-0.0730875420875421,-0.345357040825847,2.31817407407407,-0.445488154671768
"8",2809,-1.07085544758485,85.9075691388467,-0.514736985999699,2112.47803466667,-0.956398110791329,191.275166686077,1.27974493675623,-1.27705483287974,0.116693054206723,-2.63224998329666,-1.05900318578825,6.14500133345979,0.823941391086894,1.98743104116085,1.00831403549428,6.07965280918058,-0.383766377944126,7.12430851826062,-1.16557834017898,-0.0831918274687855,-0.430737990303509,2.43606110480515,0.210672125876914
"9",2810,-2.2495944110434,85.2958166923472,-0.856265601525646,2130.25772442589,-0.802376915558792,178.415758939908,-0.0736488361842937,-0.893225958844376,0.79594603050638,3.29743845511043,1.95587989651422,5.86048717000514,-0.139096441566138,-2.57059864817668,-1.99443068639694,6.05922626605033,-0.440604145125675,8.35726638194658,-0.691435172926513,-0.0992936955407483,-0.566798358006532,2.49940338288057,0.563235819226525
"10",2820,-3.46137803843592,83.9173250221828,-1.62584871364755,2172.20077512393,-0.439034310164842,169.366355634428,-1.02605709045337,-0.787621733189885,0.982831357374792,2.89289856441881,1.75019616030593,5.71130755989352,-0.644047079711827,-2.25453659272405,-1.78621491478391,5.93138681898847,-0.796323107575183,10.158143342764,0.00110553035533581,-0.0233415691374079,0.0749951407402991,2.40665886432596,0.0470189891244043
"11",2854,2.56794070099615,87.529449058296,0.390724702970019,2370.11463702359,1.27544608716969,170.120754349776,-0.94666008058948,-2.70966355721973,-2.41856108040309,0.0940190374887892,0.327137491575799,6.41364348878924,1.73325485332847,0.320731464315247,-0.0896764776124554,6.18475576681614,-0.0913127112569975,17.1648961575785,2.69560472584243,0.0175440783615316,0.420477801983078,2.2673285841496,-0.728494612011311
"12",2855,3.56753562016616,88.5821996503497,0.978453373702008,2437.06304195804,1.85540408905597,185.899943846154,0.714027349810049,-0.919855520804196,0.748820317871491,-4.02350168881119,-1.76636939461169,5.66200192307692,-0.810939276011936,3.14815674825175,1.7729784251721,6.02342346153846,-0.540227045305946,10.1719965734266,0.00643289380910985,-0.125027777777778,-0.784250685650849,2.64851736111111,1.39320557232584
"13",2861,-3.72813592205949,85.2585123271889,-0.877091849558617,2151.63273464658,-0.617210320028536,192.798589631336,1.44007822491115,-1.26901966103687,0.130912709783885,1.43551620391705,1.00920656721643,6.08640686635945,0.625607895430303,-1.46983866359447,-1.26927059331872,6.46608065668203,0.691486340477668,3.7426150328341,-2.46603386025957,-0.100326036866359,-0.575521615440385,2.07117281105991,-1.82029942127309
