Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Bo Bichette","Blue Jays (AA)",20,2018,131,539,595,154,93,43,7,11,95,74,48,1,101,2,5,1,13,32,11,0.285714285,0.343434343,0.452690166,0.796124509,0.35494587775225583,0.080672268,0.169747899,"19612"
"Michael Brosseau","Rays (AA)",24,2018,104,370,417,97,57,24,3,13,53,61,29,2,74,10,7,1,4,11,4,0.262162162,0.326923076,0.448648648,0.775571724,0.3457490479312657,0.069544364,0.177458033,"19683"
"Fernando Tatis Jr.","Padres (AA)",19,2018,88,353,394,101,59,22,4,16,77,43,33,1,109,6,2,0,8,16,5,0.28611898,0.355329949,0.507082152,0.862412101,0.37939631256438394,0.083756345,0.276649746,"19709"
"Josh Rojas","Astros (AA)",24,2018,106,390,451,98,64,23,4,7,64,45,53,1,76,1,6,1,9,26,14,0.251282051,0.337777777,0.384615384,0.722393161,0.3273972855644396,0.117516629,0.168514412,"19734"
"Alex Liddi","Royals (AA)",29,2018,107,393,422,97,53,18,3,23,54,72,25,2,126,2,1,1,9,4,3,0.246819338,0.294536817,0.483460559,0.777997376,0.33854823422602653,0.059241706,0.298578199,"5411"
"Corban Joseph","Orioles (AA)",29,2018,122,459,523,143,94,30,2,17,73,68,52,1,43,3,6,3,10,8,2,0.31154684,0.38076923,0.496732026,0.877501256,0.3903650944632602,0.099426386,0.082217973,"5503"
"Evan Mendoza","Cardinals (AA)",22,2018,98,366,402,93,74,12,2,5,36,26,30,1,77,3,1,2,8,1,1,0.25409836,0.315,0.338797814,0.653797814,0.2996925457677148,0.074626865,0.191542288,"sa3002836"
"Brent Rooker","Twins (AA)",23,2018,130,503,568,128,70,32,4,22,72,79,56,3,150,5,4,0,15,6,1,0.254473161,0.332746478,0.465208747,0.797955225,0.3561978614435787,0.098591549,0.264084507,"sa3003172"
"Martin Cervenka","Orioles (AA)",25,2018,97,337,375,87,50,22,0,15,41,60,30,0,65,2,6,0,10,1,0,0.258160237,0.317333333,0.456973293,0.774306626,0.34322703584035236,0.08,0.173333333,"sa492636"
"Victor Roache","Cardinals (AA)",26,2018,121,426,475,93,62,11,2,18,50,58,44,3,142,3,2,0,8,4,1,0.218309859,0.294736842,0.38028169,0.675018532,0.3026114923216529,0.092631578,0.298947368,"sa502154"
"Beau Amaral","Mariners (AA)",27,2018,102,384,432,96,74,18,1,3,57,53,33,0,84,4,7,4,9,10,2,0.25,0.310747663,0.325520833,0.636268496,0.2924340306041397,0.076388888,0.194444444,"sa503642"
"Anderson Feliz","Orioles (AA)",26,2018,113,393,436,110,80,19,1,10,65,48,38,1,97,3,1,1,8,20,5,0.279898218,0.347126436,0.409669211,0.756795647,0.3437416906455695,0.087155963,0.222477064,"sa505526"
"Aderlin Rodriguez","Orioles (AA)",26,2018,128,483,531,138,93,20,2,23,76,92,29,2,95,11,8,0,18,1,1,0.285714285,0.335216572,0.478260869,0.813477441,0.35934184933880553,0.054613935,0.178907721,"sa511026"
"Levi Michael","Mets (AA)",27,2018,103,387,447,118,76,30,2,10,72,36,35,1,93,20,1,4,5,13,6,0.30490956,0.390519187,0.470284237,0.860803424,0.38912330601549794,0.078299776,0.208053691,"sa526207"
"Luigi Rodriguez","Giants (AA)",25,2018,114,380,425,103,71,13,5,14,54,51,38,1,119,4,2,1,4,15,10,0.271052631,0.341981132,0.442105263,0.784086395,0.3519487888255018,0.089411764,0.28,"sa547914"
"Erick Salcedo","Orioles (AA)",25,2018,127,432,471,97,73,19,5,0,44,32,29,1,54,3,5,2,5,2,4,0.224537037,0.275053304,0.291666666,0.56671997,0.260438995101513,0.061571125,0.114649681,"sa548029"
"Dominic Ficociello","Tigers (AA)",26,2018,97,366,417,98,74,15,1,8,50,56,43,1,117,4,4,0,8,8,7,0.267759562,0.347721822,0.37978142,0.727503242,0.3333285852120473,0.103117505,0.280575539,"sa549668"
"Michael O'Neill","Rangers (AA)",26,2018,121,440,498,112,75,23,2,12,63,39,41,1,119,8,4,5,4,31,6,0.254545454,0.326572008,0.397727272,0.72429928,0.32670495362301183,0.082329317,0.238955823,"sa550175"
"Eric Jagielo","Marlins (AA)",26,2018,121,399,442,79,48,20,0,11,37,64,33,0,138,5,5,0,6,1,0,0.197994987,0.264705882,0.330827067,0.595532949,0.27371422278935015,0.074660633,0.312217194,"sa550383"
"Damek Tomscha","Phillies (AA)",26,2018,93,344,385,101,73,12,1,15,53,54,26,3,58,8,6,1,14,1,1,0.293604651,0.3515625,0.465116279,0.816678779,0.36196023491736784,0.067532467,0.15064935,"sa550391"
"Kevin Medrano","Diamondbacks (AA)",28,2018,96,369,405,122,83,30,5,4,54,48,28,3,71,1,2,5,3,9,1,0.330623306,0.3775,0.471544715,0.849044715,0.37969799351031597,0.069135802,0.175308641,"sa577957"
"Joe Sever","Indians (AA)",27,2018,107,424,473,111,77,27,0,7,60,57,36,1,72,4,8,1,12,10,2,0.261792452,0.319915254,0.375,0.694915254,0.31460478832261074,0.076109936,0.152219873,"sa579296"
"Yonathan Mendoza","Mariners (AA)",24,2018,97,333,385,87,77,10,0,0,61,26,46,0,48,0,4,2,8,5,1,0.261261261,0.347258485,0.291291291,0.638549776,0.30330323192531694,0.119480519,0.124675324,"sa596904"
"Jecksson Flores","Royals (AA)",24,2018,122,459,508,144,103,31,3,7,74,52,30,1,72,7,2,10,7,27,7,0.31372549,0.363453815,0.440087145,0.80354096,0.3605042775152195,0.059055118,0.141732283,"sa597007"
"Tyler Marlette","Braves (AA)",25,2018,126,423,474,103,72,18,1,12,58,52,49,2,105,2,0,0,13,5,2,0.243498817,0.324894514,0.375886524,0.700781038,0.3219170624674377,0.103375527,0.221518987,"sa597836"
